date,density,rank_type
2020-04-04,0.13333333333333333,highest
2020-04-03,0.12380952380952381,highest
2020-04-05,0.12380952380952381,highest
2020-04-02,0.11428571428571428,highest
2020-04-01,0.08571428571428572,highest
2020-04-06,0.08571428571428572,highest
2020-04-22,0.0761904761904762,highest
2020-04-23,0.0761904761904762,highest
2020-04-28,0.0761904761904762,highest
2020-04-26,0.06666666666666667,highest
2020-03-30,0.05714285714285714,highest
2020-03-31,0.05714285714285714,highest
2020-04-07,0.05714285714285714,highest
2020-04-27,0.05714285714285714,highest
2020-04-08,0.047619047619047616,highest
2020-04-21,0.047619047619047616,highest
2020-04-24,0.047619047619047616,highest
2020-04-25,0.047619047619047616,highest
2020-04-29,0.047619047619047616,highest
2020-04-30,0.047619047619047616,highest
2020-08-29,0.047619047619047616,highest
2020-09-19,0.047619047619047616,highest
2020-04-14,0.0380952380952381,highest
2020-04-15,0.0380952380952381,highest
2020-04-16,0.0380952380952381,highest
2020-04-17,0.0380952380952381,highest
2020-04-18,0.0380952380952381,highest
2020-08-17,0.0380952380952381,highest
2020-09-20,0.0380952380952381,highest
2020-09-23,0.0380952380952381,highest
2020-09-24,0.0380952380952381,highest
2021-03-15,0.0380952380952381,highest
2020-04-09,0.02857142857142857,highest
2020-04-10,0.02857142857142857,highest
2020-04-19,0.02857142857142857,highest
2020-04-20,0.02857142857142857,highest
2020-05-01,0.02857142857142857,highest
2020-08-03,0.02857142857142857,highest
2020-08-10,0.02857142857142857,highest
2020-08-11,0.02857142857142857,highest
2020-08-15,0.02857142857142857,highest
2020-08-16,0.02857142857142857,highest
2020-08-27,0.02857142857142857,highest
2020-08-28,0.02857142857142857,highest
2020-08-30,0.02857142857142857,highest
2020-09-18,0.02857142857142857,highest
2020-09-21,0.02857142857142857,highest
2020-09-25,0.02857142857142857,highest
2020-04-11,0.01904761904761905,highest
2020-05-02,0.01904761904761905,highest
2020-04-12,0.0,lowest
2020-05-08,0.0,lowest
2020-05-09,0.0,lowest
2020-05-10,0.0,lowest
2020-05-12,0.0,lowest
2020-05-13,0.0,lowest
2020-05-14,0.0,lowest
2020-05-15,0.0,lowest
2020-05-16,0.0,lowest
2020-05-17,0.0,lowest
2020-05-18,0.0,lowest
2020-05-29,0.0,lowest
2020-05-30,0.0,lowest
2020-05-31,0.0,lowest
2020-06-01,0.0,lowest
2020-06-02,0.0,lowest
2020-06-03,0.0,lowest
2020-06-04,0.0,lowest
2020-06-12,0.0,lowest
2020-06-16,0.0,lowest
2020-06-17,0.0,lowest
2020-06-18,0.0,lowest
2020-06-19,0.0,lowest
2020-06-20,0.0,lowest
2020-06-21,0.0,lowest
2020-06-22,0.0,lowest
2020-06-23,0.0,lowest
2020-06-24,0.0,lowest
2020-06-25,0.0,lowest
2020-06-26,0.0,lowest
2020-06-27,0.0,lowest
2020-06-30,0.0,lowest
2020-07-02,0.0,lowest
2020-07-03,0.0,lowest
2020-07-04,0.0,lowest
2020-07-08,0.0,lowest
2020-07-09,0.0,lowest
2020-07-10,0.0,lowest
2020-07-11,0.0,lowest
2020-08-01,0.0,lowest
2020-08-21,0.0,lowest
2020-08-22,0.0,lowest
2020-08-23,0.0,lowest
2020-08-24,0.0,lowest
2020-08-25,0.0,lowest
2020-08-26,0.0,lowest
2020-09-07,0.0,lowest
2020-09-08,0.0,lowest
2020-09-09,0.0,lowest
2020-09-10,0.0,lowest
